KKQA,54.135,-165.7727777777778,22.143093028702566
KRUA,61.33577777777778,-149.5156111111111,49.56219541539653
K201CH,60.065194444444444,-148.01230555555554,1.6644420104323583
KCUK,61.52177777777778,-166.09630555555557,11.03399857324713
KCUK,61.531194444444445,-165.5855277777778,12.170331069516651
KCUK,61.52861111111111,-165.59122222222223,34.21540322461259
K201BI,60.55333333333333,-145.73363888888886,3.6766843476966553
KFPS,54.85577777777778,-163.41419444444446,31.920261228158452
KIYU-FM,64.74080555555555,-156.87602777777778,8.88005585965803
K201AM,58.41741666666666,-135.71013888888888,3.6766843476966553
KAKI,58.301111111111105,-134.44222222222223,79.38053731627485
K201AH,70.12647222222222,-143.62166666666667,3.6766843476966553
KOGJ,60.52191666666666,-151.07333333333332,4.477772413600529
KOGJ,60.522,-151.07344444444445,5.497925458263332
K201EG,55.35355555555556,-131.68419444444444,2.394828801181204
K201DA,55.06022222222222,-162.32866666666666,3.0917106879975593
K201AG,70.21383333333334,-150.99058333333332,2.923959440639127
K201AV,69.72938888888889,-163.01652777777778,3.6766843476966553
K201AL,56.320750000000004,-133.02919444444447,3.6766843476966553
K201AO,60.10275,-149.43880555555555,3.6766843476966553
K201CL,60.86833333333333,-146.68172222222222,1.7027300639908467
WKRE,33.695361111111104,-86.51747222222222,48.11823083400602
WSJL,33.395944444444446,-87.01861111111111,6.843080638702281
WAYH,34.81897222222223,-86.73861111111111,75.7233582020651
WOKM-LP,30.699444444444445,-88.12194444444444,7.915470436313172
KBAP,35.79783333333333,-91.67125,22.42416960322447
KRQA,36.39369444444444,-94.18158333333334,34.2411021331665
KBPW,33.5365,-92.46877777777777,12.168909401040269
KCGS-FM,35.90138888888889,-92.61611111111111,42.170318370650286
KGIF,-14.3225,-170.76305555555555,85.12963892737491
KTHO,34.490072222222224,-112.53381388888889,112.51277768614315
K201IB,34.42225,-110.56622222222222,2.9420653177417333
K201ER,34.91808333333333,-110.14094444444446,11.158510904952644
KUYI,35.808055555555555,-110.27374999999999,127.17699902711325
KLTU,32.24894444444445,-111.11697222222222,184.07493474530784
KPJM,34.28780555555555,-111.19344444444445,35.32389658366139
KREE,31.348444444444443,-109.48005555555555,31.634787341617802
K202BU,33.66752777777778,-114.05991666666667,3.6766843476966553
KNNB,33.763083333333334,-109.96147222222223,46.921166870512735
KCFY,32.642,-114.56022222222222,45.89733440431561
KRTM,34.03777777777778,-116.81419444444444,60.25246047217665
K201BV,38.006861111111114,-122.14383333333333,35.588384229660335
KWTF,38.36075,-122.97516666666667,0.0
KDUP,41.636833333333335,-120.09213888888888,17.709183040554905
K201AD,35.47994444444445,-117.68394444444445,23.283364908638784
KECG,37.90547222222222,-122.29383333333332,8.520713668584209
KMUE,40.727361111111115,-123.97255555555556,148.87676023036184
KFCF,37.073,-119.43177777777778,112.36243613496457
KPFZ-FM,38.98961111111111,-122.76913888888889,3.2358930468923877
KLWG,34.90997222222222,-120.18708333333333,112.76619445396089
KLWG,34.60358333333333,-120.48905555555555,34.98726119767585
